N_comp_rpm,N_pump_rpm,T_cool_in_C,Q_evap_plant_W,Q_hx_potential_W,Q_ref_max_W,limit_type
4000.0,4800.0,32.5,2762.723337476662,2762.723337476662,3091.350814277619,Q_hx
4000.0,4800.0,35.0,3007.617467092426,3007.617467092426,3305.0129248068715,Q_hx
5000.0,1600.0,15.0,1866.7755289288953,1866.7755289288953,1891.2862911386064,Q_hx
5000.0,1600.0,17.5,2008.991631290246,2008.991631290246,2022.5773780571471,Q_hx
5000.0,1600.0,20.0,2144.5605085645666,2144.5605085645666,2161.70953886041,Q_hx
5000.0,1600.0,22.5,2283.636324938175,2283.636324938175,2306.8430878359586,Q_hx
5000.0,1600.0,25.0,2426.8620713389646,2426.8620713389646,2457.9441745377476,Q_hx
5000.0,1600.0,27.5,2573.7020069652863,2573.7020069652863,2615.2164692134093,Q_hx
5000.0,1600.0,30.0,2722.058144747234,2722.058144747234,2779.400111853719,Q_hx
5000.0,1600.0,32.5,2870.359208112028,2870.359208112028,2951.143849047655,Q_hx
5000.0,1600.0,35.0,3017.6460525805064,3017.6460525805064,3131.050410882287,Q_hx
5000.0,2400.0,15.0,2047.3445198166066,2047.3445198166066,2052.9255806300644,Q_hx
5000.0,2400.0,17.5,2198.5126682432738,2198.5126682432738,2207.806778950935,Q_hx
5000.0,2400.0,20.0,2363.933350052388,2363.933350052388,2367.7040544938327,Q_hx
5000.0,2400.0,22.5,2534.7146879004054,2535.1228059426617,2534.7146879004054,Q_ref_max
5000.0,2400.0,25.0,2708.91971552609,2712.7507959366344,2708.91971552609,Q_ref_max
5000.0,2400.0,27.5,2890.6753107911836,2896.67690594645,2890.6753107911836,Q_ref_max
5000.0,2400.0,30.0,3080.094112290799,3086.806578071553,3080.094112290799,Q_ref_max
5000.0,2400.0,32.5,3277.285405380233,3283.059369249745,3277.285405380233,Q_ref_max
5000.0,2400.0,35.0,3482.351601382773,3485.363992886514,3482.351601382773,Q_ref_max
5000.0,3200.0,15.0,2134.5762148076547,2176.7852447331447,2134.5762148076547,Q_ref_max
5000.0,3200.0,17.5,2257.763835020147,2257.763835020147,2313.2444708510993,Q_hx
5000.0,3200.0,20.0,2448.0298857173116,2448.0298857173116,2483.9524609665705,Q_hx
5000.0,3200.0,22.5,2642.192109368491,2642.192109368491,2663.9495762019274,Q_hx
5000.0,3200.0,25.0,2842.0271229456334,2842.0271229456334,2852.546631930629,Q_hx
5000.0,3200.0,27.5,3049.541103057664,3050.0976371979145,3049.541103057664,Q_ref_max
5000.0,3200.0,30.0,3255.342043496793,3266.321153897133,3255.342043496793,Q_ref_max
5000.0,3200.0,32.5,3470.0702323162695,3490.5808375717174,3470.0702323162695,Q_ref_max
5000.0,3200.0,35.0,3694.3178384238327,3718.812920813477,3694.3178384238327,Q_ref_max
5000.0,4000.0,15.0,2185.2921145028304,2312.973033951119,2185.2921145028304,Q_ref_max
5000.0,4000.0,17.5,2217.885770359582,2217.885770359582,2390.7099770126324,Q_hx
5000.0,4000.0,20.0,2435.9372385845427,2435.9372385845427,2568.9466358797245,Q_hx
5000.0,4000.0,22.5,2650.3512207051836,2650.3512207051836,2757.7485824364167,Q_hx
5000.0,4000.0,25.0,2867.3595005829748,2867.3595005829748,2956.7623063095975,Q_hx
5000.0,4000.0,27.5,3088.3249178194687,3088.3249178194687,3165.8631732162526,Q_hx
5000.0,4000.0,30.0,3313.7938565237123,3313.7938565237123,3385.291665617934,Q_hx
5000.0,4000.0,32.5,3543.1413688492366,3543.1413688492366,3615.5336146350082,Q_hx
5000.0,4000.0,35.0,3781.195751076038,3781.195751076038,3855.7769972058486,Q_hx
5000.0,4800.0,15.0,2232.449897285059,2510.476497865692,2232.449897285059,Q_ref_max
